Department,Manufacturer,Result
Ouro-Sogui,Sanofi Aventis,0
Ouro-Sogui,Sanofi Aventis,0
Diourbel,Innothera Chouzy,0
Medina,Gracure Pharma Ltd,0
Kolda (City),Cipla Ltd,0
Ouro-Sogui,Expharm,0
Diourbel,Medico Remedies Pvt Ltd,0
Tambacounda,Expharm,0
Kolda (City),Expharm,0
Kolda (City),Expharm,0
Kolda (City),Expharm,0
Tambacounda,Expharm,0
Kedougou (City),Expharm,0
Kedougou (City),Expharm,0
Matam (City),F.Hoffmann-La Roche Ltd,0
Kanel,F.Hoffmann-La Roche Ltd,0
Ouro-Sogui,F.Hoffmann-La Roche Ltd,0
Ouro-Sogui,F.Hoffmann-La Roche Ltd,0
Kolda (City),F.Hoffmann-La Roche Ltd,0
Kolda (City),F.Hoffmann-La Roche Ltd,0
Diourbel,Bliss Gvis Pharma Ltd,0
Diourbel,Bliss Gvis Pharma Ltd,0
Diourbel,Sanofi Aventis,1
Diourbel,Novartis,1
Tambacounda,Mepha Ltd,0
Diourbel,Mepha Ltd,0
Guediawaye,Mepha Ltd,0
Medina,Mepha Ltd,0
Guediawaye,Matrix Laboratories Limited,1
Hann,Matrix Laboratories Limited,1
Ouro-Sogui,Matrix Laboratories Limited,0
Ouro-Sogui,Pfizer,0
Kolda (City),Matrix Laboratories Limited,1
Diourbel,Expharm,1
Diourbel,Innothera Chouzy,1
Medina,Mepha Ltd,0
Ouro-Sogui,Mepha Ltd,0
Diourbel,Sanofi Aventis,1
Diourbel,Sanofi Synthelabo,1
Diourbel,Sanofi Synthelabo,1
Ouro-Sogui,Mepha Ltd,0
Koumpantoum,Mepha Ltd,0
Kedougou (City),Mepha Ltd,0
Ouro-Sogui,Medico Remedies Pvt Ltd,0
Kolda (City),Medico Remedies Pvt Ltd,0
Velingara,Medico Remedies Pvt Ltd,0
Medina,F.Hoffmann-La Roche Ltd,0
Diourbel,F.Hoffmann-La Roche Ltd,0
Diourbel,F.Hoffmann-La Roche Ltd,0
Guediawaye,F.Hoffmann-La Roche Ltd,0
Tambacounda,F.Hoffmann-La Roche Ltd,0
Koumpantoum,F.Hoffmann-La Roche Ltd,0
