Region,Country,Province,Medicine/Brand Name,Therapeutic Indications,Manufacturer,Batch Lot Number,API,Dosage Form,Drug Registered,Facility Sector,Facility Type,Year,Date Sample Collected,Final Test Result,Type of Test,Reason for Failure,Counterfeit Medicine,Actions Taken on Substandard or Counterfeit Medicine
Asia,Cambodia,Pailin,Tetra CPE,Antimalarial,CPE,2165 A,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Tetra,Antimalarial,Bright Future Pharma,10910,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Utera,Antimalarial,Umedica Laboratories PVT. Ltd,AH 103,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Chloroquine,Antimalarial,Unknown,3602,Chloroquine,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20102,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Mefloquine,Antimalarial,Unknown,55187,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Tetra-MS,Antimalarial,MS,217,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Chloroquine,Antimalarial,Unknown,3744,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,Vysali Pharmaceutical Ltd,C25201,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Mefloquine,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,No API,Yes,Unknown
Asia,Cambodia,Pailin,Tetra,Antimalarial,AAP,30902,Tetracycline,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Tetracycline,Antimalarial,Flamingo Pharmaceuticals Ltd,B 111 M7/00,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Compendial,N/A,No,N/A
Asia,Cambodia,Battambang,Tetracycline,Antimalarial,"Chankit trading Ltd, Part",11303,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Mefloquine,Antimalarial,Mepha Ltd,50697,Mefloquine ,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Utomycin,Antimalarial,Unknown,1A992/44,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Mefloquine,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Pursat,A+M4,Antimalarial,MOH,138,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Quinine Sulfate,Antimalarial,Unknown,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Battambang,Artesunate,Antimalarial,Dopharma,30802,Artesunate,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Compendial,N/A,No,N/A
Asia,Cambodia,Battambang,Chloroquine,Antimalarial,"Acdhon Co., Ltd",G078,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Compendial,N/A,No,N/A
Asia,Cambodia,Pursat,Masaquine,Antimalarial,"Masa Lab Co., Ltd",121683,Chloroquine,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Chloroquine,Antimalarial,Unknown,Missing,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Preah Vihear ,Dihydroartemisinin ,Antimalarial,Guangzhou,Missing,Dihydroartemisinin,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Tetramedico,Antimalarial,Korea Green,10801,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Mephaquine,Antimalarial,Mepha Ltd,151116,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20102,Artesunate,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Tetracycline,Antimalarial,CPE,2165A,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Chloroquine,Antimalarial,Amstel,F9J01,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetramedico,Antimalarial,Medico Remedies Pvt Ltd,20601,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Lariam,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Preah Vihear ,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",902,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,No API,Yes,Unknown
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,Brainy Pharmaceutical,Missing,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Pailin,Chloroquine,Antimalarial,"RPC International Co., Ltd",970729,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10301,Artesunate,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Fail,Screening,No API,Yes,Unknown
Asia,Cambodia,Pursat,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Chloroquine,Antimalarial,"Acdhon Co., Ltd",T 7829,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Eloquine,Antimalarial,Limassol,E3E32,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Nivaquine,Antimalarial,Rhone Poulen,611,Chloroquine,Tablet,Unknown,Unknown,Warehouse,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Preah Vihear ,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pailin,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10301,Artesunate,Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pursat,Lariam,Antimalarial,Unknown,Missing,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Quinine,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Fail,Screening,Wrong API,No,Unknown
Asia,Cambodia,Pursat,Nitaquine,Antimalarial,"Utopian Co., Ltd",832TNT,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Quinine Sulfate,Antimalarial,Unknown,Missing,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pailin,Tetraman,Antimalarial,T Man Pharma Ltd. Part.,745458,Tetracycline,Capsule,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Mefloquine,Antimalarial,Mepha Ltd,10801,Mefloquine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Dihydroartemisinin ,Antimalarial,"Kincare Medical & Pharmaceutical Co., Ltd",Missing,Dihydroartemisinin,Tablet,Unknown,Unknown,Health Clinic,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Mephaquine,Antimalarial,Mepha Ltd,151116,Mefloquine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Nivaquine,Antimalarial,Specia,590,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Quinine Sulfate,Antimalarial,Brainy Pharmaceutical,20530,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Compendial,Wrong API,No,Unknown
Asia,Cambodia,Preah Vihear ,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20801,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Chloroquine,Antimalarial,"Acdhon Co., Ltd",T7850,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Malarine,Antimalarial,MOH,63,"Artesunate, Mefloquine ",Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,Brainy Pharmaceutical,Missing,Tetracycline,Capsule,Unknown,Unknown,Warehouse,2003,15/01/2003,Fail,Screening,Substandard,No,Unknown
Asia,Cambodia,Pursat,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",20402,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Preah Vihear ,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",902,Artesunate,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Fail,Screening,No API,Yes,Unknown
Asia,Cambodia,Pursat,Tetracycline,Antimalarial,Brainy Pharmaceutical,Missing,Tetracycline,Capsule,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Screening,No API,Yes,Unknown
Asia,Cambodia,Pailin,Chloroquine,Antimalarial,The British Dispensary,1805/28,Chloroquine,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Mefloquine,Antimalarial,Gateway Pharmaceuticals,B 53320,Mefloquine ,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Compendial,Missing,No,Unknown
Asia,Cambodia,Battambang,Artesunate,Antimalarial,"Guilin Pharmaceutical Co., Ltd",10901,Artesunate,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Fail,Compendial,No API,Yes,Unknown
Asia,Cambodia,Preah Vihear ,Quinine Sulfate,Antimalarial,Unknown,1840,Quinine ,Tablet,Unknown,Unknown,Unknown,2003,15/01/2003,Pass,Screening,N/A,No,N/A
Asia,Cambodia,Battambang,Nivaquine,Antimalarial,Rhone Poulen,611,Chloroquine,Tablet,Unknown,Unknown,Pharmacy,2003,15/01/2003,Pass,Screening,N/A,No,N/A
